NOMBDEPTO,NOMBLOC,POBLACION,CANT_FARMACIAS
MONTEVIDEO,MONTEVIDEO,1304729.0,172
MONTEVIDEO,RURAL,14026.0,11
ARTIGAS,LIMITE CONTESTADO,0.0,0
ARTIGAS,ARTIGAS,40657.0,5
ARTIGAS,BELLA UNION,12200.0,4
ARTIGAS,TOMAS GOMENSORO,2659.0,2
ARTIGAS,BALTASAR BRUM,2531.0,1
ARTIGAS,BERNABE RIVERA,380.0,0
ARTIGAS,FRANQUIA,935.0,0
ARTIGAS,SEQUEIRA,1149.0,0
ARTIGAS,CORONADO,438.0,0
ARTIGAS,CUAREIM,710.0,0
ARTIGAS,CUARO,113.0,0
ARTIGAS,JAVIER DE VIANA,140.0,0
ARTIGAS,LA BOLSA,16.0,0
ARTIGAS,LAS PIEDRAS,2771.0,0
ARTIGAS,PINTADITO,1642.0,0
ARTIGAS,PORT. DE HIERRO Y CAMPODONICO,323.0,1
ARTIGAS,MONES QUINTELA,531.0,0
ARTIGAS,RURAL,3524.0,3
ARTIGAS,CAINSA,355.0,0
ARTIGAS,PASO CAMPAMENTO,264.0,0
ARTIGAS,DIEGO LAMAS,128.0,0
ARTIGAS,PASO FARIAS,38.0,0
ARTIGAS,RINCON DE PACHECO,27.0,0
ARTIGAS,TOPADOR,124.0,0
ARTIGAS,CERRO EJIDO,790.0,0
ARTIGAS,COLONIA PALMA,440.0,0
ARTIGAS,CERRO SIGNORELLI (EL MIRADOR),52.0,0
ARTIGAS,CERRO SAN EUGENIO,425.0,0
ARTIGAS,CALNU,15.0,0
CANELONES,LAS PIEDRAS,71258.0,10
CANELONES,CANELONES,19865.0,3
CANELONES,LA PAZ,20524.0,5
CANELONES,PANDO,25947.0,7
CANELONES,SANTA LUCIA,16742.0,2
CANELONES,PIEDRAS DE AFILAR,132.0,0
CANELONES,CUMBRES DE CARRASCO,32.0,0
CANELONES,HARAS DEL LAGO,68.0,0
CANELONES,QUINTA LOS HORNEROS,7.0,0
CANELONES,LAS HIGUERITAS,0.0,0
CANELONES,SOFIA SANTOS,54.0,0
CANELONES,PROGRESO,16244.0,2
CANELONES,SAN RAMON,7133.0,1
CANELONES,BARROS BLANCOS,31650.0,7
CANELONES,COLONIA NICOLICH,9624.0,1
CANELONES,JOAQUIN SUAREZ,6570.0,0
CANELONES,PASO CARRASCO,15908.0,4
CANELONES,SANTA ROSA,3727.0,2
CANELONES,SAUCE,6132.0,1
CANELONES,TALA,5089.0,1
CANELONES,VILLA CRESPO Y SAN ANDRES,9813.0,1
CANELONES,FRACC. CNO. ANDALUZ Y R.84,9295.0,0
CANELONES,ATLANTIDA,5562.0,4
CANELONES,ESTACION ATLANTIDA,2274.0,1
CANELONES,CERRILLOS,2508.0,1
CANELONES,EMPALME OLMOS,4199.0,1
CANELONES,MIGUES,2109.0,2
CANELONES,PARQUE DEL PLATA,7896.0,1
CANELONES,SAN BAUTISTA,1973.0,1
CANELONES,SAN JACINTO,4510.0,1
CANELONES,DR. FRANCISCO SOCA,1797.0,0
CANELONES,TOLEDO,4397.0,1
CANELONES,MONTES,1760.0,0
CANELONES,SAN JOSE DE CARRASCO,7288.0,6
CANELONES,FRACC. SOBRE RUTA 74,1513.0,0
CANELONES,AGUAS CORRIENTES,1047.0,0
CANELONES,BARRA DE CARRASCO,5410.0,3
CANELONES,JUANICO,1305.0,0
CANELONES,LA FLORESTA,1595.0,3
CANELONES,ESTACION LA FLORESTA,1313.0,0
CANELONES,LAS TOSCAS,3146.0,0
CANELONES,PARQUE CARRASCO,8628.0,6
CANELONES,SALINAS,8626.0,2
CANELONES,SAN ANTONIO,1489.0,1
CANELONES,AEROPUERTO INTERNACIONAL DE CARRASCO,90.0,2
CANELONES,SOLYMAR,18573.0,3
CANELONES,VILLA AEROPARQUE,4307.0,0
CANELONES,CASTELLANOS,520.0,0
CANELONES,BARRIO COPOLA,826.0,0
CANELONES,COSTA AZUL,965.0,2
CANELONES,COSTA Y GUILLAMON,550.0,1
CANELONES,EL PINAR,21091.0,2
CANELONES,ESTACION MIGUES,144.0,0
CANELONES,PINAMAR - PINEPARK,4724.0,1
CANELONES,LAGOMAR,8066.0,5
CANELONES,OLMOS,662.0,0
CANELONES,PARADA CABRERA,409.0,0
CANELONES,SAN LUIS,1878.0,0
CANELONES,SHANGRILA,3195.0,4
CANELONES,TOTORAL DEL SAUCE,746.0,0
CANELONES,VILLA FELICIDAD,1344.0,0
CANELONES,VILLA PAZ S.A.,542.0,0
CANELONES,VILLA SAN JOSE,1419.0,0
CANELONES,ESTACION TAPIA,213.0,0
CANELONES,VILLA SAN FELIPE,242.0,0
CANELONES,VILLA HADITA,235.0,0
CANELONES,PASO DE PACHE,147.0,0
CANELONES,RURAL,48219.0,27
CANELONES,CITY GOLF,1104.0,2
CANELONES,VIEJO MOLINO SAN BERNARDO,456.0,0
CANELONES,ESTANQUE DE PANDO,770.0,0
CANELONES,JARDINES DE PANDO,756.0,0
CANELONES,PASO ESPINOSA,333.0,0
CANELONES,ARAMINDA,152.0,0
CANELONES,ARGENTINO,68.0,0
CANELONES,BELLO HORIZONTE,416.0,1
CANELONES,BIARRITZ,57.0,1
CANELONES,BOLIVAR,139.0,0
CANELONES,CAMPO MILITAR,299.0,0
CANELONES,CAPILLA DE CELLA,119.0,0
CANELONES,CRUZ DE LOS CAMINOS,279.0,0
CANELONES,CUCHILLA ALTA,527.0,1
CANELONES,EL BOSQUE,988.0,3
CANELONES,ESTACION PEDRERA,140.0,0
CANELONES,FORTIN DE SANTA ROSA,296.0,0
